Word,PonderadoApilado,Similares
hospital,7.38,"['hospital rebagliati', 'hospital edgardo rebagliati', 'hospital rebagliati acusan', 'el hospital edgardo rebagliati', 'hospital las mercedes aldo borrero zeta', 'un residente del hospital', 'hospital regional']"
álvaro paz de la barra,7.359999999999999,"['álvaro paz', 'paz de la barra', 'la paz', 'álvaro', 'la molina álvaro paz de la barra']"
naranjal del metropolitano,7.33,"['metropolitano', 'estación naranjal del metropolitano', 'naranjal']"
youtube,7.32,['youtuber']
madre,7.24,"['isabel pantoja madre', 'mi madre  gino pesaressi', 'madre de']"
imagen,7.1899999999999995,['encuentran imagen de la virgen']
gabinete,7.16,"['gabinete ministerial', 'jefe del gabinete']"
habea,7.1,['habeas']
cristiano ronaldo,7.07,['cristiano']
mensaje,7.069999999999999,['mensajes']
venezolano,7.030000000000001,"['venezolana', 'venezolanos']"
vía,7.029999999999999,"['vía evitamiento', 'vía evitamiento rímac', 'vía de evitamiento']"
atención,7.0200000000000005,"['arturo morote atención', 'servicio nacional de atención integral a personas adultas privadas de libertad', 'atención mercado móvil']"
entrevista,6.9799999999999995,"['javier torres entrevista', 'raúl tola entrevista']"
casa,6.94,['casa blanca']
control,6.85,['control de drogas']
manchester united,6.8100000000000005,"['united', 'manchester', 'cristiano ronaldo manchester united']"
nivel,6.789999999999999,['diálogo de alto nivel']
mario vargas llosa,6.76,"['vargas llosa', 'mario vargas llosa “castillo', 'mario vargas llosa «castillo', 'mario vargas llosa «el comunismo']"
titular,6.680000000000001,['la titular del']
motín,6.67,['ecuador motín']
decisión,6.64,['procuradora silvana carrión decisión']
conductora,6.55,['conductor']
exitosa,6.539999999999999,"['exitosa que vienen trabajando', 'exitosa mendoza', 'exitosa norte', 'exitosa que no es justo', 'exitosa sur', 'radio exitosa']"
rusia,6.450000000000001,"['zenit de rusia', 'russia']"
emporio comercial de gamarra,6.4,"['gamarra', 'emporio']"
viceministro,6.39,"['viceministro rosell', 'viceministra']"
acción,6.340000000000001,"['día de acción global', 'íber maraví acción popular', 'plan de acción de la cuenca llallimayo puno ayer', 'facción', 'acción popular']"
profesor,6.34,['profesora']
planta,6.33,"['planeta', 'plata']"
servicio,6.3,['servicio nacional forestal']
protocolo,6.199999999999999,['protocolo denominado']
conferencia,6.199999999999999,['conferencia este']
sofía franco,6.1499999999999995,['sofía']
melissa paredes,6.13,['instagram melissa paredes']
delincuente,6.07,['delincuentes']
seguridad,6.03,['inseguridad']
emoción,6.03,"['remoción', 'moción', 'lloramos de emoción beto da silva']"
chile,6.01,"['necesito escapar de chile eso', 'chile bolivia']"
comunidad,6.01,"['comunidad de madrid', 'comunidades', 'presidenta de la comunidad de madrid']"
andrea san martín,5.96,['andrea']
ciudadano,5.96,['ciudadanos']
encuentro,5.9399999999999995,"['ii encuentro', 'reencuentro']"
investigación,5.920000000000001,"['comisión parlamentaria de investigación', 'ministerio público y agentes de la división de investigación de delitos de alta complejidad', 'miguel torres moreno de la unidad de investigación de alta tecnología de la dirincri', 'tercer juzgado de investigación preparatoria']"
colegio,5.84,"['colegio de abogados de áfrica', 'colegio de enfermeros', 'colegio de enfermeros edda cayotopa']"
tribunal,5.81,"['tribuna', 'tribunal constitucional', 'tribunal superior de pereira', 'tribunal constitucional tv', 'tribunal registral denominado', 'tribunal de licencias']"
economía,5.7700000000000005,"['economía y finanzas alfredo thorne', 'ministerio de economía', 'ministerio de economía y finanzas', 'economía popular', 'economía pedro francke', 'economía verde bla bla bla']"
prisión,5.74,['prisión&gt&gt']
óscar maúrtua,5.67,"['maúrtua', 'óscar maúrtua dice']"
estrella torres,5.630000000000001,['estrella']
temporada,5.61,['sex education” temporada 4']
abogado,5.5600000000000005,"['laura bozzo abogado', 'mi abogado no me notificó']"
dni,5.55,['cuenta dni']
jefe,5.54,['jefe de estado']
nota,5.53,['una nota de']
médico,5.51,"['colegio médico eden galán-rodas', 'colegio médico', 'médicos']"
comisión,5.489999999999999,"['comisión de ética', 'comisión política', 'comisión de fiscalización']"
trabajador,5.46,['trabajadora']
venezuela,5.44,['consejo nacional electoral de venezuela']
el comercio suscríbete,5.44,"['suscríbete', 'comercio']"
2021,5.43,"['premio nacional de la calidad 2021', 'premio nacional a la calidad 2021 conversamos', 'copa libertadores 2021', 'campeones cup 2021', 'panam challenge 2021', 'semana climática 2021']"
excandidata,5.42,['candidata']
mercado,5.4,"['mercados', 'mercado de flores']"
amenaza,5.3999999999999995,['todo ello implica una amenaza']
luz,5.38,"['estadio da luz de lisboa', 'nuestra luz', 'nuestra luz brilla con talleres de arte', 'estadio da luz']"
proyecto,5.369999999999999,['proyecto amplify']
premier,5.319999999999999,['premier bellido']
dólar,5.3,['dólar blue']
asistencia,5.29,['inasistencia']
presencia,5.29,['presidencia']
pareja,5.28,['ventanilla pareja']
representante,5.2700000000000005,['representantes']
marco,5.239999999999999,['marco zagal']
crítica,5.16,['critica']
cárcel,5.159999999999999,['los exteriores de la cárcel']
rafael vela,5.120000000000001,"['vela', 'rafael vela &lt&lten', 'rafael vela  indica', 'rafael vela barba']"
visita,5.09,['vista']
pregunta,5.03,"['pregunta del día   los', 'preguntas', 'pregunta del día']"
la libertad,4.93,"['libertad', 'editor de correo la libertad', 'gerencia regional de transportes de la libertad']"
tarde,4.92,['noticias tarde']
juan víctor,4.9,['juan víctor sánchez']
sector,4.87,['presupuesto del sector']
horario,4.859999999999999,['horarios']
respuesta,4.84,['repuesta']
ejecutivo,4.84,"['comité ejecutivo nacional del sutep', 'poder ejecutivo']"
sebastián,4.78,"['sebastián lizarzaburu', 'sebastián bazalar']"
guerra,4.75,"['hernando guerra garcía', 'esto es guerra “todos somos humanos y cometemos errores', 'nano guerra', 'segunda guerra mundial', 'paul neil herrera guerra']"
juez,4.75,['juez thomas hixson']
conoce,4.75,"['messi conoce', 'departamento de estado  conoce', 'independencia   conoce', 'tiraspol conoce', 'ee uu conoce', 'jaén conoce']"
florida,4.71,"['orlando florida', 'enn orlando florida']"
sergio peña,4.699999999999999,"['sergio peña vamos sergio', 'debut sergio peña']"
cantante,4.6499999999999995,['el cantante de cumbia']
vecino,4.63,['vecinos']
rosell,4.62,['gustavo rosell']
laura bozzo,4.61,['laura bozzo interpol']
robo,4.609999999999999,['robo al milan']
parlamentario,4.59,['parlamentaria']
villarreal,4.58,"['villarreal video', 'villareal']"
parque,4.57,"['parque ""sinchi roca']"
agenda,4.5600000000000005,"['conoce aquí la agenda de actividades', 'agenda bicentenario 2021']"
ipsos,4.51,"['ipsos-lampadia', 'encuesta de ipsos']"
renegociación,4.5,['negociación']
portada,4.48,['nuestra portada de hoy 29 de septiembre']
alimento,4.44,['aliento']
provincia,4.420000000000001,"['provincia de mendoza', 'provincia del santa', 'provincia de paita', 'provincia de cotabambas', 'provincia de cotahuasi']"
periodista,4.42,['periodista de canal n']
laliga,4.36,"['laliga santander', 'messi laliga']"
cusco,4.359999999999999,"['of cusco', 'el cusco']"
arequipa,4.35,"['honorio delgado espinoza de arequipa', 'áncash arequipa']"
katy ugarte,4.34,"['katy ugarte mamani', 'jackeline katy ugarte', 'ugarte']"
s/400,4.33,['s/']
trujillo,4.3100000000000005,"['trujillo intervienen la gerencia regional de transportes', 'trujillo héctor dextre']"
posición,4.27,['oposición']
juventus,4.25,"['federico chiesa juventus', 'juventus chelsea']"
clave,4.24,['claves']
televisión,4.2299999999999995,['televisión digital terrestre']
