Keyword,Words Topico
le cag**** el cacharro mira,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
atlético tucumán,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
cabeza,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
josé carvallo,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
tomislav brkic,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
detalles,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
global tv,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
alineaciones,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
frank kessié ac milan,"['dc united', 'red', 'frank kessié ac milan', 'championship video']"
listos,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
momentos,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
championship video,"['dc united', 'red', 'frank kessié ac milan', 'championship video']"
