Number of words,9257
Number of unique words,1106
Average word frequency,8.369801
Entropy,6.534286

Word,Frequency,Proportion,Entropy Term
horario,12,0.001296,0.008618
vía,12,0.001296,0.008618
play,3,0.000324,0.002604
burofax,3,0.000324,0.002604
laporta,3,0.000324,0.002604
canadá,3,0.000324,0.002604
pública,3,0.000324,0.002604
minuto,19,0.002053,0.012702
quito,11,0.001188,0.008003
espn,3,0.000324,0.002604
europeas,8,0.000864,0.006096
mercedes,3,0.000324,0.002604
sports,4,0.000432,0.003347
defensores,5,0.000540,0.004064
chaco,4,0.000432,0.003347
river,3,0.000324,0.002604
plate,3,0.000324,0.002604
independiente,3,0.000324,0.002604
boca,6,0.000648,0.004758
central,3,0.000324,0.002604
culpa,3,0.000324,0.002604
alineación,5,0.000540,0.004064
chorri,15,0.001620,0.010411
enemigo,4,0.000432,0.003347
vestimenta,3,0.000324,0.002604
medio,18,0.001944,0.012139
cancha,8,0.000864,0.006096
essalud,9,0.000972,0.006743
instituto,7,0.000756,0.005435
sedapal,10,0.001080,0.007379
abastecimiento,5,0.000540,0.004064
emergencia,8,0.000864,0.006096
pese,10,0.001080,0.007379
pedido,3,0.000324,0.002604
ugaz,8,0.000864,0.006096
norma,8,0.000864,0.006096
viajero,6,0.000648,0.004758
reino,5,0.000540,0.004064
unido,5,0.000540,0.004064
agencia,5,0.000540,0.004064
sanitaria,5,0.000540,0.004064
vladimir,6,0.000648,0.004758
cerrón,15,0.001620,0.010411
alva,16,0.001728,0.010994
vacancia,13,0.001404,0.009224
falta,5,0.000540,0.004064
respeto,3,0.000324,0.002604
renato,8,0.000864,0.006096
comentario,8,0.000864,0.006096
viernes,7,0.000756,0.005435
maduro,6,0.000648,0.004758
covax,5,0.000540,0.004064
aída,3,0.000324,0.002604
domicilio,6,0.000648,0.004758
semipresencialidad,5,0.000540,0.004064
transporte,5,0.000540,0.004064
olivos,9,0.000972,0.006743
pnp,5,0.000540,0.004064
casa,21,0.002269,0.013812
apuesta,9,0.000972,0.006743
víctima,12,0.001296,0.008618
camioneta,19,0.002053,0.012702
rosangella,3,0.000324,0.002604
