Number of pairs,6021.000000
Number of unique pairs,1281
Average pair frequency,4.700234
Pair entropy,6.951919

Pair,Frequency,Proportion,Entropy Term,Mutual Information
migrant méxico,3.000000,0.000498,0.003789,4.151616
us millón,3.000000,0.000498,0.003789,4.954764
millón vacuna,8.000000,0.001329,0.008801,4.585667
millón peruana,3.000000,0.000498,0.003789,4.415767
millón familia,4.000000,0.000664,0.004861,4.143834
millón sinopharm,4.000000,0.000664,0.004861,5.396597
millón pueblo,3.000000,0.000498,0.003789,3.765180
millón coronavirus,6.000000,0.000997,0.006887,3.930260
millón peruano,6.000000,0.000997,0.006887,4.885771
millón persona,5.000000,0.000830,0.005891,3.094012
millón dosis,4.000000,0.000664,0.004861,3.604837
millón euros,3.000000,0.000498,0.003789,4.821233
millón dólares,4.000000,0.000664,0.004861,5.578918
millón anticovid,3.000000,0.000498,0.003789,5.802062
inglaterra andorra,4.000000,0.000664,0.004861,7.366037
retorno aula,3.000000,0.000498,0.003789,7.771502
retorno clase,3.000000,0.000498,0.003789,6.567530
setiembre lima,6.000000,0.000997,0.006887,3.297011
setiembre callao,6.000000,0.000997,0.006887,4.002580
setiembre señal,3.000000,0.000498,0.003789,4.107941
setiembre exitosa,3.000000,0.000498,0.003789,5.052402
setiembre radio,3.000000,0.000498,0.003789,5.899700
judicial caso,3.000000,0.000498,0.003789,5.612018
judicial audiencia,4.000000,0.000664,0.004861,7.483820
audiencia caso,5.000000,0.000830,0.005891,5.429697
audiencia esterilización,3.000000,0.000498,0.003789,7.196138
audiencia martes,3.000000,0.000498,0.003789,6.385208
condición local,3.000000,0.000498,0.003789,5.899700
condición cerrón,3.000000,0.000498,0.003789,5.756599
clase colegio,3.000000,0.000498,0.003789,6.056704
clase escolar,3.000000,0.000498,0.003789,6.413379
vuelta barrio,3.000000,0.000498,0.003789,8.176968
gobierno méxico,3.000000,0.000498,0.003789,2.916871
gobierno pueblo,4.000000,0.000664,0.004861,3.806729
gobierno afganistán,3.000000,0.000498,0.003789,3.253344
gobierno castillo,3.000000,0.000498,0.003789,3.158034
gobierno vista,3.000000,0.000498,0.003789,5.268247
futbolista albiceleste,3.000000,0.000498,0.003789,6.184537
peruana venezuela,4.000000,0.000664,0.004861,4.187984
peruana pueblo,4.000000,0.000664,0.004861,5.329155
venezuela partido,11.000000,0.001827,0.011519,3.040100
venezuela estadio,4.000000,0.000664,0.004861,3.377053
venezuela nacional,4.000000,0.000664,0.004861,3.035304
venezuela eliminatorias,16.000000,0.002657,0.015759,3.604837
venezuela qatar,7.000000,0.001163,0.007856,3.471306
venezuela hora,4.000000,0.000664,0.004861,3.238903
venezuela méxico,3.000000,0.000498,0.003789,2.647539
venezuela fecha,7.000000,0.001163,0.007856,3.320483
venezuela urgencia,3.000000,0.000498,0.003789,4.998914
venezuela lapadula,3.000000,0.000498,0.003789,3.551995
venezuela casa,4.000000,0.000664,0.004861,3.628368
venezuela apuesta,6.000000,0.000997,0.006887,4.881131
venezuela guerrero,4.000000,0.000664,0.004861,3.839677
venezuela sudamericanas,6.000000,0.000997,0.006887,3.782518
lima región,18.000000,0.002990,0.017377,4.274995
lima callao,39.000000,0.006477,0.032642,5.143495
lima metropolitana,12.000000,0.001993,0.012393,5.255824
lima ica,20.000000,0.003322,0.018958,5.120023
lima persona,5.000000,0.000830,0.005891,2.460763
lima minsa,7.000000,0.001163,0.007856,3.747427
lima sur,3.000000,0.000498,0.003789,3.702476
lima universitario,4.000000,0.000664,0.004861,4.763348
callao región,14.000000,0.002325,0.014100,4.729250
callao lima,10.000000,0.001661,0.010630,3.782518
callao año,4.000000,0.000664,0.004861,2.179273
callao ica,9.000000,0.001495,0.009725,5.027085
callao persona,5.000000,0.000830,0.005891,3.166332
callao minsa,5.000000,0.000830,0.005891,4.116525
planta oxígeno,9.000000,0.001495,0.009725,7.060006
planta sur,5.000000,0.000830,0.005891,6.209855
oxígeno sur,5.000000,0.000830,0.005891,6.305165
juegos paralímpicos,10.000000,0.001661,0.010630,6.855212
juegos tokio,5.000000,0.000830,0.005891,6.518740
paralímpicos tokio,4.000000,0.000664,0.004861,6.701061
familia partido,3.000000,0.000498,0.003789,2.972961
libre comisión,4.000000,0.000664,0.004861,5.249113
libre condición,3.000000,0.000498,0.003789,5.899700
libre Ética,3.000000,0.000498,0.003789,5.794340
libre local,3.000000,0.000498,0.003789,5.531976
libre cerrón,4.000000,0.000664,0.004861,5.676557
presidencia comisión,3.000000,0.000498,0.003789,5.446938
congresista perú,3.000000,0.000498,0.003789,3.523007
guinea presidente,3.000000,0.000498,0.003789,4.621620
guinea gobierno,3.000000,0.000498,0.003789,4.708631
centro vacunación,8.000000,0.001329,0.008801,4.958092
centro dosis,3.000000,0.000498,0.003789,4.082623
proyecto ley,3.000000,0.000498,0.003789,5.979743
ley texas,3.000000,0.000498,0.003789,6.385208
ley aborto,3.000000,0.000498,0.003789,6.567530
arequipa año,6.000000,0.000997,0.006887,3.634560
arequipa dosis,7.000000,0.001163,0.007856,5.286596
arequipa domingo,7.000000,0.001163,0.007856,4.998914
vacunación lima,6.000000,0.000997,0.006887,3.271693
vacunación año,18.000000,0.002990,0.017377,3.683350
vacunación persona,7.000000,0.001163,0.007856,3.502805
vacunación dosis,3.000000,0.000498,0.003789,3.389476
vacunación horario,6.000000,0.000997,0.006887,5.181235
vacunación frontera,3.000000,0.000498,0.003789,4.893553
año vacunatón,4.000000,0.000664,0.004861,2.823630
año vacuna,4.000000,0.000664,0.004861,2.572315
año día,6.000000,0.000997,0.006887,2.130482
año mes,4.000000,0.000664,0.004861,2.732658
año distrito,5.000000,0.000830,0.005891,3.606389
año vida,6.000000,0.000997,0.006887,2.941413
año lima,25.000000,0.004152,0.022771,3.306284
año callao,16.000000,0.002657,0.015759,3.565567
año centro,4.000000,0.000664,0.004861,2.872420
año vacunación,3.000000,0.000498,0.003789,1.891590
año metropolitana,5.000000,0.000830,0.005891,3.693400
año ica,8.000000,0.001329,0.008801,3.516777
